INSERT INTO `npc_trainer` (`ID`,`SpellID`,`MoneyCost`,`ReqSkillLine`,`ReqSkillRank`,`ReqLevel`) VALUES 
('95002','54553','40000','164','400','0'),
('95002','54554','40000','164','395','0'),
('95002','54555','40000','164','405','0'),
('95002','54556','40000','164','405','0'),
('95002','54557','40000','164','390','0'),
('95002','54917','30000','164','375','0'),
('95002','54918','30000','164','380','0'),
('95002','54941','30000','164','385','0'),
('95002','54944','30000','164','385','0'),
('95002','54945','35000','164','390','0'),
('95002','54946','30000','164','395','0'),
('95002','54947','35000','164','395','0'),
('95002','54948','30000','164','400','0'),
('95002','54949','30000','164','400','0'),
('95002','55013','40000','164','390','0'),
('95002','55014','35000','164','410','0'),
('95002','55015','40000','164','415','0'),
('95002','55017','40000','164','410','0'),
('95002','55055','40000','164','395','0'),
('95002','55056','40000','164','400','0'),
('95002','55057','40000','164','405','0'),
('95002','55058','45000','164','415','0'),
('95002','55174','50000','164','390','0'),
('95002','55177','50000','164','395','0'),
('95002','55179','50000','164','400','0'),
('95002','55181','50000','164','405','0'),
('95002','55182','40000','164','410','0'),
('95002','55200','35000','164','380','0'),
('95002','55201','35000','164','380','0'),
('95002','55202','35000','164','385','0'),
('95002','55203','35000','164','385','0'),
('95002','55204','35000','164','390','0'),
('95002','55206','40000','164','405','0'),
('95002','55298','45000','164','420','0'),
('95002','55300','45000','164','420','0'),
('95002','55301','45000','164','420','0'),
('95002','55302','45000','164','425','0'),
('95002','55303','45000','164','425','0'),
('95002','55304','45000','164','425','0'),
('95002','55305','45000','164','420','0'),
('95002','55306','45000','164','420','0'),
('95002','55307','45000','164','420','0'),
('95002','55308','45000','164','420','0'),
('95002','55309','45000','164','420','0'),
('95002','55310','45000','164','425','0'),
('95002','55311','45000','164','425','0'),
('95002','55312','45000','164','425','0'),
('95002','55369','180000','164','440','0'),
('95002','55370','150000','164','440','0'),
('95002','55371','150000','164','440','0'),
('95002','55372','120000','164','440','0'),
('95002','55373','120000','164','440','0'),
('95002','55374','120000','164','440','0'),
('95002','55375','120000','164','440','0'),
('95002','55376','120000','164','440','0'),
('95002','55377','120000','164','440','0'),
('95002','55628','45000','164','400','0'),
('95002','55641','45000','164','400','0'),
('95002','55656','50000','164','415','0'),
('95002','55732','42000','164','420','0'),
('95002','55834','30000','164','360','0'),
('95002','55835','30000','164','370','0'),
('95002','55839','42000','164','420','0'),
('95002','56234','150000','164','440','0'),
('95002','56280','40000','164','410','0'),
('95002','56357','42000','164','420','0'),
('95002','56400','150000','164','440','0'),
('95002','56549','45000','164','420','0'),
('95002','56550','45000','164','420','0'),
('95002','56551','45000','164','420','0'),
('95002','56552','45000','164','420','0'),
('95002','56553','45000','164','420','0'),
('95002','56554','45000','164','425','0'),
('95002','56555','45000','164','425','0'),
('95002','56556','45000','164','425','0'),
('95002','59405','30000','164','350','0'),
('95002','59406','45000','164','430','0'),
('95002','59436','40000','164','395','0'),
('95002','59438','40000','164','400','0'),
('95002','59440','40000','164','405','0'),
('95002','59441','45000','164','415','0'),
('95002','59442','40000','164','410','0'),
('95002','61008','120000','164','425','0'),
('95002','61009','120000','164','420','0'),
('95002','61010','120000','164','420','0'),
('95002','63182','150000','164','440','0'),
('95003','7428','100','333','20','0'),
('95003','7414','10','0','0','5'),
('95003','7415','500','333','50','10'),
('95003','7416','5000','333','125','20'),
('95003','7420','50','333','15','0'),
('95003','7426','100','333','40','0'),
('95003','7454','100','333','45','0'),
('95003','7457','250','333','50','0'),
('95003','7745','500','333','100','0'),
('95003','7748','250','333','60','0'),
('95003','7771','200','333','70','0'),
('95003','7779','400','333','80','0'),
('95003','7788','500','333','90','0'),
('95003','7795','1000','333','100','0'),
('95003','7857','1000','333','120','0'),
('95003','7861','1250','333','125','0'),
('95003','7863','1400','333','125','0'),
('95003','13378','600','333','105','0'),
('95003','13421','800','333','115','0'),
('95003','13485','1500','333','130','0'),
('95003','13501','1500','333','130','0'),
('95003','13503','2000','333','140','0'),
('95003','13529','2400','333','145','0'),
('95003','13538','2500','333','140','0'),
('95003','13607','2400','333','145','0'),
('95003','13622','2500','333','150','0'),
('95003','13626','2500','333','150','0'),
('95003','13628','2500','333','150','0'),
('95003','13631','2600','333','155','0'),
('95003','13635','2600','333','155','0'),
('95003','13637','2800','333','160','0'),
('95003','13640','2700','333','160','0'),
('95003','13642','2800','333','165','0'),
('95003','13644','2800','333','170','0'),
('95003','13648','2800','333','170','0'),
('95003','13657','3000','333','175','0'),
('95003','13659','3200','333','180','0'),
('95003','13661','3600','333','180','0'),
('95003','13663','3800','333','185','0'),
('95003','13693','4000','333','195','0'),
('95003','13695','4000','333','200','0'),
('95003','13700','4000','333','200','0'),
('95003','13702','4000','333','200','0'),
('95003','13746','4200','333','205','0'),
('95003','13794','4200','333','205','0'),
('95003','13815','4400','333','210','0'),
('95003','13822','4400','333','210','0'),
('95003','13836','4600','333','215','0'),
('95003','13858','4800','333','220','0'),
('95003','13887','5000','333','225','0'),
('95003','13890','5000','333','225','0'),
('95003','13905','5400','333','230','0'),
('95003','13917','5400','333','230','0'),
('95003','13921','50000','333','200','35'),
('95003','13935','5800','333','235','0'),
('95003','13937','6200','333','240','0'),
('95003','13939','6200','333','240','0'),
('95003','13941','6200','333','245','0'),
('95003','13943','6200','333','245','0'),
('95003','13948','6500','333','250','0'),
('95003','14293','50','333','10','0'),
('95003','14807','200','333','70','0'),
('95003','14809','2600','333','155','0'),
('95003','14810','3000','333','175','0'),
('95003','17180','10000','333','250','0'),
('95003','17181','10000','333','250','0'),
('95003','20008','10000','333','255','0'),
('95003','20012','10000','333','270','0'),
('95003','20013','20000','333','295','0'),
('95003','20014','10000','333','265','0'),
('95003','20016','15000','333','280','0'),
('95003','20023','20000','333','295','0'),
('95003','20028','15000','333','290','0'),
('95003','27899','15000','333','305','0'),
('95003','27905','15000','333','315','0'),
('95003','27944','15000','333','310','0'),
('95003','27957','17500','333','315','0'),
('95003','27961','15000','333','310','0'),
('95003','28027','40000','333','325','0'),
('95003','28028','80000','333','350','0'),
('95003','28030','100000','333','275','50'),
('95003','32664','10000','333','300','0'),
('95003','33990','20000','333','320','0'),
('95003','33991','12500','333','300','0'),
('95003','33993','15000','333','305','0'),
('95003','33995','25000','333','340','0'),
('95003','33996','15000','333','310','0'),
('95003','34001','15000','333','305','0'),
('95003','34002','15000','333','300','0'),
('95003','34004','15000','333','310','0'),
('95003','42613','1000','333','300','0'),
('95003','42615','40000','333','335','0'),
('95003','44383','30000','333','330','0'),
('95003','44555','50000','333','375','60'),
('95003','44616','100000','333','400','60'),
('95003','47900','150000','333','425','60'),
('95003','63746','5000','333','225','0'),
('95003','69412','150000','333','445','60'),
('95003','27958','50000','333','350','60'),
('95003','32667','50000','333','375','35'),
('95003','44484','150000','333','405','60'),
('95003','44488','150000','333','410','60'),
('95003','44489','150000','333','420','60'),
('95003','44492','100000','333','395','60'),
('95003','44500','100000','333','395','60'),
('95003','44506','50000','333','375','60'),
('95003','44508','150000','333','410','60'),
('95003','44509','150000','333','420','60'),
('95003','44510','150000','333','410','60'),
('95003','44513','100000','333','395','60'),
('95003','44528','90000','333','385','60'),
('95003','44529','150000','333','415','60'),
('95003','44582','100000','333','395','60'),
('95003','44584','150000','333','405','60'),
('95003','44589','150000','333','415','60'),
('95003','44592','50000','333','360','60'),
('95003','44593','150000','333','420','60'),
('95003','44598','150000','333','415','60'),
('95003','44623','50000','333','370','60'),
('95003','44629','100000','333','395','60'),
('95003','44630','80000','333','390','60'),
('95003','44633','150000','333','410','60'),
('95003','44635','100000','333','395','60'),
('95003','44636','100000','333','400','60'),
('95003','44645','100000','333','400','60'),
('95003','47766','100000','333','400','60'),
('95003','51312','350000','333','350','65'),
('95003','59636','100000','333','400','60'),
('95003','60606','50000','333','375','60'),
('95003','60609','50000','333','350','60'),
('95003','60616','50000','333','360','60'),
('95003','60619','150000','333','425','0'),
('95003','60621','80000','333','380','60'),
('95003','60623','90000','333','385','60'),
('95003','60653','100000','333','395','60'),
('95003','60663','150000','333','420','60'),
('95003','60668','150000','333','425','60'),
('95003','60767','100000','333','440','60'),
('95003','62959','90000','333','385','60'),
('95004','3922','115','202','30','0'),
('95004','3923','130','202','30','0'),
('95004','3924','150','202','50','0'),
('95004','3925','150','202','50','0'),
('95004','3926','225','202','65','0'),
('95004','3929','250','202','75','0'),
('95004','3930','250','202','75','0'),
('95004','3931','250','202','75','0'),
('95004','3932','300','202','85','0'),
('95004','3934','400','202','100','0'),
('95004','3936','420','202','105','0'),
('95004','3937','450','202','105','0'),
('95004','3938','450','202','105','0'),
('95004','3941','500','202','120','0'),
('95004','3942','500','202','125','0'),
('95004','3945','500','202','125','0'),
('95004','3946','500','202','125','0'),
('95004','3947','300','202','125','0'),
('95004','3949','550','202','130','0'),
('95004','36015','600','202','140','0'),
('95004','3953','600','202','145','0'),
('95004','3955','750','202','150','0'),
('95004','3956','450','202','150','0'),
('95004','3958','800','202','160','0'),
('95004','3961','900','202','170','0'),
('95004','3962','1000','202','175','0'),
('95004','3963','1000','202','175','0'),
('95004','3965','1200','202','185','0'),
('95004','3967','1400','202','190','0'),
('95004','3973','300','202','90','0'),
('95004','3977','200','202','60','0'),
('95004','3978','475','202','110','0'),
('95004','4039','10','0','0','5'),
('95004','4040','500','202','50','10'),
('95004','4041','5000','202','125','20'),
('95004','6458','400','202','135','0'),
('95004','7430','150','202','50','0'),
('95004','8334','300','202','100','0'),
('95004','9271','500','202','150','0'),
('95004','12584','1000','202','150','0'),
('95004','12585','1000','202','175','0'),
('95004','12586','1000','202','175','0'),
('95004','12589','1300','202','195','0'),
('95004','12590','1000','202','175','0'),
('95004','12591','1500','202','200','0'),
('95004','12594','1600','202','205','0'),
('95004','12595','1600','202','205','0'),
('95004','12596','1700','202','210','0'),
('95004','12599','1800','202','215','0'),
('95004','12603','1800','202','215','0'),
('95004','12615','2500','202','225','0'),
('95004','12618','2200','202','230','0'),
('95004','12619','2400','202','235','0'),
('95004','12621','2800','202','245','0'),
('95004','12622','2800','202','245','0'),
('95004','12657','50000','202','200','35'),
('95004','15255','1500','202','200','0'),
('95004','19567','4000','202','250','0'),
('95004','19788','4000','202','250','0'),
('95004','19790','10000','202','260','0'),
('95004','19791','5000','202','260','0'),
('95004','19792','10000','202','260','0'),
('95004','19794','20000','202','270','0'),
('95004','19795','10000','202','275','0'),
('95004','19800','10000','202','285','0'),
('95004','19825','20000','202','290','0'),
('95004','23070','5000','202','250','0'),
('95004','23071','5000','202','260','0'),
('95004','30303','10000','202','300','0'),
('95004','30304','10000','202','300','0'),
('95004','30305','10000','202','300','0'),
('95004','30306','20000','202','325','0'),
('95004','30307','50000','202','340','0'),
('95004','30308','50000','202','340','0'),
('95004','30309','50000','202','340','0'),
('95004','30310','15000','202','300','0'),
('95004','30311','25000','202','325','0'),
('95004','30312','20000','202','320','0'),
('95004','30346','15000','202','310','0'),
('95004','30351','100000','202','275','50'),
('95004','39971','20000','202','335','0'),
('95004','39973','50000','202','325','0'),
('95004','40274','50000','202','350','0'),
('95004','44157','180000','202','375','0'),
('95004','41307','50000','202','375','0'),
('95004','41311','50000','202','350','0'),
('95004','41312','50000','202','350','0'),
('95004','41314','50000','202','350','0'),
('95004','41315','50000','202','350','0'),
('95004','41316','50000','202','350','0'),
('95004','41317','50000','202','350','0'),
('95004','41318','50000','202','350','0'),
('95004','41319','50000','202','350','0'),
('95004','41320','50000','202','350','0'),
('95004','41321','50000','202','350','0'),
('95004','44155','50000','202','300','60'),
('95004','51305','350000','202','350','65'),
('95004','53281','50000','202','350','0'),
('95004','54353','125000','202','400','0'),
('95004','54736','100000','202','390','0'),
('95004','54793','100000','202','380','0'),
('95004','54998','125000','202','400','0'),
('95004','54999','125000','202','400','0'),
('95004','55002','100000','202','380','0'),
('95004','55016','125000','202','405','0'),
('95004','56349','50000','202','350','0'),
('95004','56459','100000','202','375','0'),
('95004','56460','50000','202','350','0'),
('95004','56461','50000','202','375','0'),
('95004','56462','150000','202','435','0'),
('95004','56463','100000','202','375','0'),
('95004','56464','100000','202','375','0'),
('95004','56465','125000','202','420','0'),
('95004','56466','125000','202','420','0'),
('95004','56467','125000','202','420','0'),
('95004','56468','125000','202','405','0'),
('95004','56469','150000','202','425','0'),
('95004','56470','150000','202','425','0'),
('95004','56471','100000','202','390','0'),
('95004','56472','150000','202','425','0'),
('95004','56474','125000','202','410','0'),
('95004','56475','125000','202','415','0'),
('95004','56476','125000','202','410','0'),
('95004','56477','125000','202','415','0'),
('95004','56478','200000','202','430','0'),
('95004','56479','200000','202','450','0'),
('95004','56480','150000','202','440','0'),
('95004','56481','150000','202','440','0'),
('95004','56483','150000','202','440','0'),
('95004','56484','150000','202','440','0'),
('95004','56486','150000','202','440','0'),
('95004','56487','150000','202','440','0'),
('95004','56574','150000','202','440','0'),
('95004','60874','200000','202','450','0'),
('95004','61471','100000','202','390','0'),
('95004','61481','125000','202','420','0'),
('95004','61482','125000','202','420','0'),
('95004','61483','125000','202','420','0'),
('95004','62271','150000','202','440','0'),
('95004','63750','5000','202','250','0'),
('95004','63765','100000','202','380','0'),
('95004','63770','125000','202','400','0'),
('95004','67326','100000','202','410','0'),
('95004','67839','100000','202','410','0'),
('95004','67920','150000','202','435','0'),
('95004','8895','2200','202','225','0'),
('95004','12715','1500','202','205','0'),
('95004','12716','1500','202','205','0'),
('95004','12717','1500','202','205','0'),
('95004','12718','1500','202','205','0'),
('95004','12754','2250','202','235','0'),
('95004','12755','2400','202','230','0'),
('95004','12758','2600','202','245','0'),
('95004','12760','1500','202','205','0'),
('95004','12908','2800','202','240','0'),
('95004','13240','1500','202','205','0'),
('95004','20222','20000','202','200','30'),
('95004','30558','25000','202','325','65'),
('95004','30560','35000','202','340','0'),
('95004','30563','50000','202','350','70'),
('95004','30565','100000','202','375','70'),
('95004','30566','100000','202','375','70'),
('95004','56514','150000','202','425','70'),
('95004','12759','2800','202','240','0'),
('95004','12895','1500','202','200','0'),
('95004','12897','1500','202','210','0'),
('95004','12899','1500','202','205','0'),
('95004','12902','1800','202','210','0'),
('95004','12903','2000','202','215','0'),
('95004','12905','2200','202','225','0'),
('95004','12906','2400','202','230','0'),
('95004','12907','2600','202','235','0'),
('95004','20219','20000','202','200','30'),
('95004','30568','25000','202','325','0'),
('95004','30569','35000','202','340','0'),
('95004','30570','50000','202','350','0'),
('95004','30574','100000','202','375','0'),
('95004','30575','100000','202','375','0'),
('95004','56473','150000','202','425','0'),
('95005','11994','50000','182','200','25'),
('95005','2372','10','0','0','0'),
('95005','2373','500','182','50','0'),
('95005','28696','100000','182','275','50'),
('95005','3571','5000','182','125','10'),
('95005','50301','350000','182','350','55'),
('95006','45375','10','0','0','5'),
('95006','45376','6015','773','50','10'),
('95006','45377','4750','773','125','20'),
('95006','45378','47500','773','200','35'),
('95006','45379','100000','773','275','50'),
('95006','45380','350000','773','350','65'),
('95006','48121','380','773','100','0'),
('95006','48247','475','773','110','0'),
('95006','48248','47','773','35','0'),
('95006','50598','380','773','75','0'),
('95006','50599','712','773','165','0'),
('95006','50600','4275','773','215','0'),
('95006','50601','60165','773','260','0'),
('95006','50602','19000','773','310','0'),
('95006','50603','50000','773','360','0'),
('95006','50604','60000','773','410','0'),
('95006','50605','380','773','75','0'),
('95006','50606','712','773','160','0'),
('95006','50607','4275','773','210','0'),
('95006','50608','60165','773','255','0'),
('95006','50609','19000','773','295','0'),
('95006','50610','50000','773','355','0'),
('95006','50611','60000','773','405','0'),
('95006','50612','380','773','75','0'),
('95006','50614','712','773','155','0'),
('95006','50616','4275','773','205','0'),
('95006','50617','60165','773','250','0'),
('95006','50618','19000','773','290','0'),
('95006','50619','50000','773','350','0'),
('95006','50620','60000','773','400','0'),
('95006','52739','142','773','35','0'),
('95006','52840','380','773','75','0'),
('95006','52843','47','773','35','0'),
('95006','53462','285','773','75','0'),
('95006','56943','30000','773','350','0'),
('95006','56945','475','773','115','0'),
('95006','56948','712','773','150','0'),
('95006','56951','712','773','130','0'),
('95006','56952','20000','773','310','0'),
('95006','56953','6015','773','170','0'),
('95006','56955','285','773','80','0'),
('95006','56956','2850','773','200','0'),
('95006','56957','60165','773','260','0'),
('95006','56959','4275','773','220','0'),
('95006','56961','380','773','90','0'),
('95006','56963','285','773','85','0'),
('95006','56968','380','773','100','0'),
('95006','56971','475','773','115','0'),
('95006','56972','30000','773','335','0'),
('95006','56973','712','773','130','0'),
('95006','56974','712','773','155','0'),
('95006','56976','285','773','80','0'),
('95006','56978','380','773','90','0'),
('95006','56979','5700','773','225','0'),
('95006','56980','50000','773','375','0'),
('95006','56981','6015','773','175','0'),
('95006','56982','4275','773','205','0'),
('95006','56984','30000','773','325','0'),
('95006','56985','60165','773','280','0'),
('95006','56987','125000','773','400','0'),
('95006','56991','20000','773','315','0'),
('95006','56994','6015','773','175','0'),
('95006','56995','380','773','100','0'),
('95006','56997','475','773','115','0'),
('95006','57000','2850','773','200','0'),
('95006','57001','5700','773','225','0'),
('95006','57002','60165','773','260','0'),
('95006','57003','30000','773','350','0'),
('95006','57004','285','773','80','0'),
('95006','57005','712','773','130','0'),
('95006','57006','50000','773','375','0'),
('95006','57007','712','773','150','0'),
('95006','57008','20000','773','315','0'),
('95006','57009','380','773','90','0'),
('95006','57020','6015','773','180','0'),
('95006','57022','285','773','80','0'),
('95006','57023','4275','773','205','0'),
('95006','57024','5700','773','230','0'),
('95006','57025','60165','773','265','0'),
('95006','57026','20000','773','300','0'),
('95006','57027','380','773','90','0'),
('95006','57029','475','773','105','0'),
('95006','57030','475','773','120','0'),
('95006','57031','712','773','135','0'),
('95006','57032','712','773','155','0'),
('95006','57033','30000','773','335','0'),
('95006','57036','50000','773','375','0'),
('95006','57113','30000','773','340','0'),
('95006','57114','285','773','80','0'),
('95006','57119','380','773','95','0'),
('95006','57120','475','773','105','0'),
('95006','57121','475','773','120','0'),
('95006','57122','20000','773','305','0'),
('95006','57123','712','773','135','0'),
('95006','57125','712','773','160','0'),
('95006','57129','2850','773','185','0'),
('95006','57131','4275','773','210','0'),
('95006','57132','5700','773','235','0'),
('95006','57133','14250','773','285','0'),
('95006','57151','4275','773','220','0'),
('95006','57154','7125','773','240','0'),
('95006','57156','14250','773','285','0'),
('95006','57157','712','773','125','0'),
('95006','57158','380','773','95','0'),
('95006','57161','6015','773','170','0'),
('95006','57162','285','773','85','0'),
('95006','57163','475','773','110','0'),
('95006','57165','2850','773','190','0'),
('95006','57167','712','773','140','0'),
('95006','57168','20000','773','320','0'),
('95006','57172','30000','773','345','0'),
('95006','57183','5700','773','230','0'),
('95006','57184','475','773','105','0'),
('95006','57185','60165','773','270','0'),
('95006','57186','475','773','120','0'),
('95006','57187','20000','773','315','0'),
('95006','57188','712','773','135','0'),
('95006','57192','30000','773','350','0'),
('95006','57194','285','773','80','0'),
('95006','57196','380','773','95','0'),
('95006','57197','712','773','160','0'),
('95006','57198','50000','773','375','0'),
('95006','57200','6015','773','180','0'),
('95006','57201','4275','773','210','0'),
('95006','57210','60165','773','265','0'),
('95006','57213','14250','773','285','0'),
('95006','57216','60165','773','270','0'),
('95006','57219','60165','773','280','0'),
('95006','57221','20000','773','300','0'),
('95006','57222','30000','773','350','0'),
('95006','57224','30000','773','330','0'),
('95006','57225','50000','773','375','0'),
('95006','57226','20000','773','305','0'),
('95006','57227','30000','773','345','0'),
('95006','57236','20000','773','300','0'),
('95006','57238','475','773','110','0'),
('95006','57239','285','773','85','0'),
('95006','57240','712','773','125','0'),
('95006','57241','2850','773','185','0'),
('95006','57242','4275','773','215','0'),
('95006','57244','5700','773','235','0'),
('95006','57245','712','773','140','0'),
('95006','57246','380','773','95','0'),
('95006','57248','50000','773','375','0'),
('95006','57249','712','773','165','0'),
('95006','57251','60165','773','275','0'),
('95006','57252','30000','773','330','0'),
('95006','57257','30000','773','350','0'),
('95006','57259','285','773','85','0'),
('95006','57262','712','773','125','0'),
('95006','57265','475','773','110','0'),
('95006','57266','380','773','95','0'),
