id	kind	reference	status	issue	source_manifest	schema_evidence	values_evidence	relations_evidence	runtime_evidence	notes
client:Holidays.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Holidays.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ImportPriceArmor.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ImportPriceArmor.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ImportPriceQuality.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ImportPriceQuality.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ImportPriceShield.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ImportPriceShield.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ImportPriceWeapon.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ImportPriceWeapon.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Item.db2	db2	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DB2Stores.cpp#Item.db2	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemArmorQuality.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemArmorQuality.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemArmorShield.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemArmorShield.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemArmorTotal.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemArmorTotal.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemBagFamily.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemBagFamily.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemClass.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemClass.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemCurrencyCost.db2	db2	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DB2Stores.cpp#ItemCurrencyCost.db2	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageAmmo.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageAmmo.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageOneHand.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageOneHand.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageOneHandCaster.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageOneHandCaster.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageRanged.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageRanged.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageThrown.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageThrown.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageTwoHand.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageTwoHand.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageTwoHandCaster.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageTwoHandCaster.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDamageWand.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDamageWand.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemDisenchantLoot.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemDisenchantLoot.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemExtendedCost.db2	db2	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DB2Stores.cpp#ItemExtendedCost.db2	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemLimitCategory.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemLimitCategory.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemPriceBase.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemPriceBase.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemRandomProperties.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemRandomProperties.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemRandomSuffix.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemRandomSuffix.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemReforge.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemReforge.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ItemSet.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ItemSet.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:KeyChain.db2	db2	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DB2Stores.cpp#KeyChain.db2	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:LFGDungeons.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#LFGDungeons.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:LFGDungeonsGroupingmap.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#LFGDungeonsGroupingmap.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Light.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Light.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:LiquidType.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#LiquidType.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Lock.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Lock.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:MailTemplate.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#MailTemplate.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Map.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Map.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:MapDifficulty.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#MapDifficulty.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:MountCapability.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#MountCapability.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:MountType.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#MountType.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Movie.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Movie.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:NameGen.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#NameGen.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:NamesProfanity.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#NamesProfanity.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:NamesReserved.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#NamesReserved.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:NumTalentsAtLevel.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#NumTalentsAtLevel.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:OverrideSpellData.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#OverrideSpellData.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Phase.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Phase.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:PhaseXPhaseGroup.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#PhaseXPhaseGroup.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:PlayerCondition.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#PlayerCondition.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:PowerDisplay.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#PowerDisplay.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:PvpDifficulty.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#PvpDifficulty.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:QuestFactionReward.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#QuestFactionReward.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:QuestPOIBlob.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#QuestPOIBlob.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:QuestPOIPoint.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#QuestPOIPoint.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:QuestSort.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#QuestSort.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:QuestXP.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#QuestXP.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:RandPropPoints.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#RandPropPoints.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ResearchBranch.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ResearchBranch.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ResearchField.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ResearchField.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ResearchProject.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ResearchProject.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ResearchSite.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ResearchSite.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ScalingStatDistribution.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ScalingStatDistribution.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ScalingStatValues.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ScalingStatValues.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SkillLine.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SkillLine.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SkillLineAbility.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SkillLineAbility.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SkillRaceClassInfo.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SkillRaceClassInfo.dbc	unassessed	#57	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SkillTiers.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SkillTiers.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SoundEntries.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SoundEntries.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Spell.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Spell.dbc	blocked	#57	-	-	apps/cata/fixtures/plan22-starting-data-audit.json	-	-	Blocked by #57: selected Cata starting profile differs from current server inputs; full loader/value/runtime parity unverified.
client:SpellAuraOptions.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SpellAuraOptions.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SpellAuraRestrictions.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SpellAuraRestrictions.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SpellCastTimes.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SpellCastTimes.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:SpellCastingRequirements.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#SpellCastingRequirements.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
